Blues-Word	Blues-Count	Blues-Proportion	Country-Word	Country-Count	Country-Proportion	Electronic-Word	Electronic-Count	Electronic-Proportion	Folk-Word	Folk-Count	Folk-Proportion	International-Word	International-Count	International-Proportion	Jazz-Word	Jazz-Count	Jazz-Proportion	Latin-Word	Latin-Count	Latin-Proportion	Pop_Rock-Word	Pop_Rock-Count	Pop_Rock-Proportion	Rap-Word	Rap-Count	Rap-Proportion	Reggae-Word	Reggae-Count	Reggae-Proportion	RnB-Word	RnB-Count	RnB-Proportion
			forget	1	0,050%	happen	1	0,059%	saw	1	0,079%							em	1	0,054%	done	12	0,046%	meinem	4	0,062%	wrong	1	0,087%	broke	1	0,039%
			girlfriend	1	0,050%	hat	1	0,059%	say	1	0,079%							entonc	1	0,054%	door	12	0,046%	meinen	4	0,062%	year	1	0,087%	broken	1	0,039%
			give	1	0,050%	haut	1	0,059%	search	1	0,079%							escapar	1	0,054%	dum	12	0,046%	money	4	0,062%	youth	1	0,087%	burnin	1	0,039%
			goin	1	0,050%	head	1	0,059%	second	1	0,079%							eso	1	0,054%	es	12	0,046%	needl	4	0,062%				busi	1	0,039%
			gone	1	0,050%	heard	1	0,059%	secret	1	0,079%							esperando	1	0,054%	far	12	0,046%	next	4	0,062%				button	1	0,039%
			good	1	0,050%	helpless	1	0,059%	set	1	0,079%							est	1	0,054%	help	12	0,046%	rather	4	0,062%				by	1	0,039%
			green	1	0,050%	her	1	0,059%	shadow	1	0,079%							esto	1	0,054%	his	12	0,046%	record	4	0,062%				card	1	0,039%
			guy	1	0,050%	high	1	0,059%	shame	1	0,079%							estribillo	1	0,054%	listen	12	0,046%	s	4	0,062%				care	1	0,039%
			hallelujah	1	0,050%	hill	1	0,059%	shape	1	0,079%							está	1	0,054%	ooh	12	0,046%	saw	4	0,062%				ceas	1	0,039%
			hang	1	0,050%	hin	1	0,059%	shine	1	0,079%							están	1	0,054%	round	12	0,046%	shake	4	0,062%				clear	1	0,039%
			heel	1	0,050%	hold	1	0,059%	shoot	1	0,079%							everi	1	0,054%	should	12	0,046%	shorti	4	0,062%				club	1	0,039%
			hide	1	0,050%	hook	1	0,059%	show	1	0,079%							eye	1	0,054%	sinc	12	0,046%	smoke	4	0,062%				cold	1	0,039%
			holdin	1	0,050%	hung	1	0,059%	side	1	0,079%							falta	1	0,054%	song	12	0,046%	sometim	4	0,062%				command	1	0,039%
			how	1	0,050%	hurt	1	0,059%	sight	1	0,079%							fault	1	0,054%	today	12	0,046%	step	4	0,062%				complet	1	0,039%
			jame	1	0,050%	ihm	1	0,059%	signal	1	0,079%							fazer	1	0,054%	true	12	0,046%	today	4	0,062%				confess	1	0,039%
			keep	1	0,050%	i’m	1	0,059%	sink	1	0,079%							fe	1	0,054%	wall	12	0,046%	track	4	0,062%				cousin	1	0,039%
			kickin	1	0,050%	jetzt	1	0,059%	sleep	1	0,079%							feet	1	0,054%	while	12	0,046%	tres	4	0,062%				crack	1	0,039%
			kinda	1	0,050%	jung	1	0,059%	sleev	1	0,079%							find	1	0,054%	wish	12	0,046%	turn	4	0,062%				crazi	1	0,039%
			kissin	1	0,050%	kann	1	0,059%	smoke	1	0,079%							flore	1	0,054%	über	12	0,046%	uno	4	0,062%				crumbl	1	0,039%
			knee	1	0,050%	keiner	1	0,059%	soil	1	0,079%							foi	1	0,054%	afraid	11	0,042%	viel	4	0,062%				dead	1	0,039%
			knew	1	0,050%	king	1	0,059%	some	1	0,079%							forma	1	0,054%	beat	11	0,042%	watch	4	0,062%				desir	1	0,039%
			last	1	0,050%	kiss	1	0,059%	somebodi	1	0,079%							from	1	0,054%	de	11	0,042%	weight	4	0,062%				did	1	0,039%
			lead	1	0,050%	kommt	1	0,059%	someon	1	0,079%							front	1	0,054%	everyon	11	0,042%	were	4	0,062%				die	1	0,039%
			learn	1	0,050%	ladi	1	0,059%	song	1	0,079%							fuerza	1	0,054%	faith	11	0,042%	where	4	0,062%				divid	1	0,039%
			leavin	1	0,050%	land	1	0,059%	soul	1	0,079%							fui	1	0,054%	fast	11	0,042%	without	4	0,062%				dollar	1	0,039%
			lie	1	0,050%	last	1	0,059%	speed	1	0,079%							game	1	0,054%	forget	11	0,042%	zeit	4	0,062%				dont	1	0,039%
			light	1	0,050%	lay	1	0,059%	stage	1	0,079%							give	1	0,054%	gotta	11	0,042%	act	3	0,046%				dope	1	0,039%
			listen	1	0,050%	life	1	0,059%	steam	1	0,079%							good	1	0,054%	ha	11	0,042%	action	3	0,046%				down	1	0,039%
			long	1	0,050%	lifetim	1	0,059%	stori	1	0,079%							grand	1	0,054%	made	11	0,042%	again	3	0,046%				drown	1	0,039%
			loos	1	0,050%	line	1	0,059%	street	1	0,079%							ground	1	0,054%	mayb	11	0,042%	album	3	0,046%				earli	1	0,039%
			lord	1	0,050%	lion	1	0,059%	stupid	1	0,079%							guarda	1	0,054%	saw	11	0,042%	allow	3	0,046%				eat	1	0,039%
			lost	1	0,050%	lip	1	0,059%	such	1	0,079%							ha	1	0,054%	stranger	11	0,042%	also	3	0,046%				empti	1	0,039%
			met	1	0,050%	lipstick	1	0,059%	summer	1	0,079%							hacer	1	0,054%	touch	11	0,042%	befor	3	0,046%				even	1	0,039%
			might	1	0,050%	make	1	0,059%	surpris	1	0,079%							hard	1	0,054%	wrong	11	0,042%	behind	3	0,046%				ever	1	0,039%
			mirror	1	0,050%	mal	1	0,059%	tell	1	0,079%							has	1	0,054%	year	11	0,042%	bis	3	0,046%				exist	1	0,039%
			miseri	1	0,050%	mall	1	0,059%	thi	1	0,079%							heaven	1	0,054%	american	10	0,038%	bist	3	0,046%				explain	1	0,039%
			misti	1	0,050%	mark	1	0,059%	thing	1	0,079%							here	1	0,054%	becaus	10	0,038%	black	3	0,046%				eye	1	0,039%
			moon	1	0,050%	may	1	0,059%	till	1	0,079%							hesit	1	0,054%	both	10	0,038%	blind	3	0,046%				fade	1	0,039%
			more	1	0,050%	messag	1	0,059%	took	1	0,079%							hijo	1	0,054%	chorus	10	0,038%	block	3	0,046%				fall	1	0,039%
			most	1	0,050%	might	1	0,059%	touch	1	0,079%							holi	1	0,054%	esta	10	0,038%	bullshit	3	0,046%				fantasi	1	0,039%
			motion	1	0,050%	mile	1	0,059%	truck	1	0,079%							hors	1	0,054%	fire	10	0,038%	case	3	0,046%				fear	1	0,039%
			music	1	0,050%	mind	1	0,059%	tryin	1	0,079%							idea	1	0,054%	goe	10	0,038%	catch	3	0,046%				feelin	1	0,039%
			name	1	0,050%	mother	1	0,059%	ugli	1	0,079%							igual	1	0,054%	ist	10	0,038%	chick	3	0,046%				felt	1	0,039%
			need	1	0,050%	mountain	1	0,059%	veri	1	0,079%							imagin	1	0,054%	last	10	0,038%	chorus	3	0,046%				fish	1	0,039%
			none	1	0,050%	mut	1	0,059%	vision	1	0,079%							imposs	1	0,054%	miss	10	0,038%	clear	3	0,046%				fit	1	0,039%
			oer	1	0,050%	myself	1	0,059%	voic	1	0,079%							invis	1	0,054%	music	10	0,038%	cock	3	0,046%				flight	1	0,039%
			off	1	0,050%	mysteri	1	0,059%	wash	1	0,079%							jama	1	0,054%	nicht	10	0,038%	collect	3	0,046%				free	1	0,039%
			offic	1	0,050%	nah	1	0,059%	water	1	0,079%							junto	1	0,054%	queen	10	0,038%	crawl	3	0,046%				fri	1	0,039%
			old	1	0,050%	niemand	1	0,059%	wave	1	0,079%							já	1	0,054%	rain	10	0,038%	cut	3	0,046%				funni	1	0,039%
			onc	1	0,050%	northern	1	0,059%	went	1	0,079%							le	1	0,054%	ride	10	0,038%	death	3	0,046%				ghost	1	0,039%
			our	1	0,050%	often	1	0,059%	west	1	0,079%							let	1	0,054%	room	10	0,038%	did	3	0,046%				girlfriend	1	0,039%
			out	1	0,050%	old	1	0,059%	whatev	1	0,079%							llama	1	0,054%	save	10	0,038%	differ	3	0,046%				god	1	0,039%
			pain	1	0,050%	open	1	0,059%	when	1	0,079%							look	1	0,054%	shadow	10	0,038%	dough	3	0,046%				goin	1	0,039%
			paul	1	0,050%	ourselv	1	0,059%	whi	1	0,079%							manera	1	0,054%	smile	10	0,038%	drunk	3	0,046%				gold	1	0,039%
			pay	1	0,050%	over	1	0,059%	whole	1	0,079%							mar	1	0,054%	such	10	0,038%	ein	3	0,046%				greed	1	0,039%
			place	1	0,050%	paint	1	0,059%	wife	1	0,079%							mas	1	0,054%	told	10	0,038%	els	3	0,046%				grown	1	0,039%
			put	1	0,050%	pictur	1	0,059%	willow	1	0,079%							meant	1	0,054%	under	10	0,038%	emot	3	0,046%				guy	1	0,039%
			puttin	1	0,050%	plan	1	0,059%	win	1	0,079%							meno	1	0,054%	worth	10	0,038%	entir	3	0,046%				had	1	0,039%
			ran	1	0,050%	put	1	0,059%	window	1	0,079%							ment	1	0,054%	aaah	9	0,035%	everyon	3	0,046%				halfway	1	0,039%
			readi	1	0,050%	rage	1	0,059%	wire	1	0,079%							mentira	1	0,054%	air	9	0,035%	fat	3	0,046%				happen	1	0,039%
			realli	1	0,050%	ran	1	0,059%	within	1	0,079%							meu	1	0,054%	anyth	9	0,035%	forc	3	0,046%				happi	1	0,039%
			ring	1	0,050%	remind	1	0,059%	woman	1	0,079%							mismo	1	0,054%	beg	9	0,035%	found	3	0,046%				he	1	0,039%
			rose	1	0,050%	repli	1	0,059%	word	1	0,079%							much	1	0,054%	belong	9	0,035%	funki	3	0,046%				head	1	0,039%
			round	1	0,050%	rise	1	0,059%	write	1	0,079%							mucho	1	0,054%	between	9	0,035%	geht	3	0,046%				hide	1	0,039%
			rude	1	0,050%	rocket	1	0,059%	ya	1	0,079%							my	1	0,054%	bone	9	0,035%	geld	3	0,046%				hoe	1	0,039%
			run	1	0,050%	said	1	0,059%	yourself	1	0,079%							name	1	0,054%	breakin	9	0,035%	give	3	0,046%				honey	1	0,039%
			same	1	0,050%	sale	1	0,059%										never	1	0,054%	cannot	9	0,035%	grab	3	0,046%				hop	1	0,039%
			seem	1	0,050%	same	1	0,059%										next	1	0,054%	care	9	0,035%	hab	3	0,046%				hope	1	0,039%
			seen	1	0,050%	save	1	0,059%										nur	1	0,054%	chosen	9	0,035%	hate	3	0,046%				hungri	1	0,039%
			sent	1	0,050%	say	1	0,059%										ohh	1	0,054%	closer	9	0,035%	hey	3	0,046%				hurt	1	0,039%
			shame	1	0,050%	schön	1	0,059%										ohhh	1	0,054%	dark	9	0,035%	hip	3	0,046%				inde	1	0,039%
			smile	1	0,050%	scream	1	0,059%										otro	1	0,054%	der	9	0,035%	hope	3	0,046%				insid	1	0,039%
			smoke	1	0,050%	sea	1	0,059%										outro	1	0,054%	fool	9	0,035%	how	3	0,046%				i´m	1	0,039%
			snow	1	0,050%	sehr	1	0,059%										padr	1	0,054%	free	9	0,035%	insid	3	0,046%				jamaica	1	0,039%
			somebodi	1	0,050%	sein	1	0,059%										pasado	1	0,054%	guess	9	0,035%	ja	3	0,046%				joy	1	0,039%
			sometim	1	0,050%	separ	1	0,059%										paso	1	0,054%	guid	9	0,035%	jung	3	0,046%				judg	1	0,039%
			sore	1	0,050%	sexi	1	0,059%										pathet	1	0,054%	heard	9	0,035%	kannst	3	0,046%				juli	1	0,039%
			speed	1	0,050%	shake	1	0,059%										pens	1	0,054%	men	9	0,035%	kopf	3	0,046%				kill	1	0,039%
			spirit	1	0,050%	share	1	0,059%										pensando	1	0,054%	mother	9	0,035%	last	3	0,046%				kinda	1	0,039%
			spread	1	0,050%	shine	1	0,059%										pensar	1	0,054%	nobodi	9	0,035%	leben	3	0,046%				ladi	1	0,039%
			star	1	0,050%	shirt	1	0,059%										pero	1	0,054%	ohh	9	0,035%	lie	3	0,046%				learn	1	0,039%
			strang	1	0,050%	shop	1	0,059%										pido	1	0,054%	peopl	9	0,035%	lieb	3	0,046%				less	1	0,039%
			style	1	0,050%	shout	1	0,059%										place	1	0,054%	planet	9	0,035%	loneli	3	0,046%				look	1	0,039%
			suppos	1	0,050%	sick	1	0,059%										play	1	0,054%	promis	9	0,035%	lost	3	0,046%				lover	1	0,039%
			swear	1	0,050%	sigh	1	0,059%										poco	1	0,054%	readi	9	0,035%	mach	3	0,046%				made	1	0,039%
			sweet	1	0,050%	sight	1	0,059%										pra	1	0,054%	se	9	0,035%	mag	3	0,046%				makin	1	0,039%
			sweetest	1	0,050%	silenc	1	0,059%										present	1	0,054%	seem	9	0,035%	mani	3	0,046%				manipul	1	0,039%
			those	1	0,050%	simpli	1	0,059%										problema	1	0,054%	silent	9	0,035%	mark	3	0,046%				may	1	0,039%
			tight	1	0,050%	sind	1	0,059%										promis	1	0,054%	slide	9	0,035%	mess	3	0,046%				might	1	0,039%
			told	1	0,050%	sinner	1	0,059%										pude	1	0,054%	sometim	9	0,035%	mind	3	0,046%				mine	1	0,039%
			too	1	0,050%	soll	1	0,059%										pue	1	0,054%	somewher	9	0,035%	most	3	0,046%				minut	1	0,039%
			toss	1	0,050%	some	1	0,059%										pued	1	0,054%	sound	9	0,035%	motherfuck	3	0,046%				miseri	1	0,039%
			touch	1	0,050%	somebodi	1	0,059%										pueden	1	0,054%	stone	9	0,035%	mouth	3	0,046%				mmm	1	0,039%
			town	1	0,050%	someon	1	0,059%										punto	1	0,054%	sure	9	0,035%	myself	3	0,046%				mommi	1	0,039%
			track	1	0,050%	soul	1	0,059%										put	1	0,054%	war	9	0,035%	need	3	0,046%				mood	1	0,039%
			trail	1	0,050%	spell	1	0,059%										quer	1	0,054%	watch	9	0,035%	new	3	0,046%				moon	1	0,039%
			treat	1	0,050%	spring	1	0,059%										question	1	0,054%	which	9	0,035%	niemal	3	0,046%				morn	1	0,039%
			trembl	1	0,050%	stain	1	0,059%										quien	1	0,054%	whole	9	0,035%	number	3	0,046%				much	1	0,039%
			tri	1	0,050%	stair	1	0,059%										quiero	1	0,054%	wie	9	0,035%	nun	3	0,046%				needl	1	0,039%
			tumbl	1	0,050%	star	1	0,059%										qué	1	0,054%	2	8	0,031%	oh	3	0,046%				neither	1	0,039%
			underneath	1	0,050%	stern	1	0,059%										razon	1	0,054%	across	8	0,031%	old	3	0,046%				night	1	0,039%
			upon	1	0,050%	stir	1	0,059%										repeat	1	0,054%	after	8	0,031%	pass	3	0,046%				nobodi	1	0,039%
			veil	1	0,050%	stori	1	0,059%										right	1	0,054%	ah	8	0,031%	pick	3	0,046%				nor	1	0,039%
			wait	1	0,050%	stuck	1	0,059%										saber	1	0,054%	angel	8	0,031%	plan	3	0,046%				noth	1	0,039%
			wanna	1	0,050%	suck	1	0,059%										second	1	0,054%	answer	8	0,031%	play	3	0,046%				nothin	1	0,039%
			went	1	0,050%	suit	1	0,059%										sido	1	0,054%	begin	8	0,031%	quiet	3	0,046%				nowher	1	0,039%
			wheel	1	0,050%	summer	1	0,059%										siento	1	0,054%	bleed	8	0,031%	rapper	3	0,046%				ooh	1	0,039%
			wherev	1	0,050%	sweep	1	0,059%										sigo	1	0,054%	blind	8	0,031%	rest	3	0,046%				pain	1	0,039%
			white	1	0,050%	sweet	1	0,059%										sigu	1	0,054%	blow	8	0,031%	revolut	3	0,046%				paranoia	1	0,039%
			who	1	0,050%	tag	1	0,059%										small	1	0,054%	burn	8	0,031%	ride	3	0,046%				part	1	0,039%
			wife	1	0,050%	teach	1	0,059%										solament	1	0,054%	comin	8	0,031%	schon	3	0,046%				peac	1	0,039%
			wind	1	0,050%	teeth	1	0,059%										stand	1	0,054%	den	8	0,031%	shine	3	0,046%				peopl	1	0,039%
			wire	1	0,050%	think	1	0,059%										still	1	0,054%	deserv	8	0,031%	shot	3	0,046%				perfect	1	0,039%
			wonderin	1	0,050%	thousand	1	0,059%										são	1	0,054%	don	8	0,031%	sit	3	0,046%				playin	1	0,039%
			would	1	0,050%	three	1	0,059%										sé	1	0,054%	easi	8	0,031%	sittin	3	0,046%				pleas	1	0,039%
			write	1	0,050%	tide	1	0,059%										tal	1	0,054%	everywher	8	0,031%	someon	3	0,046%				plot	1	0,039%
			yes	1	0,050%	time	1	0,059%										tambien	1	0,054%	forev	8	0,031%	son	3	0,046%				polit	1	0,039%
			yet	1	0,050%	today	1	0,059%										tanto	1	0,054%	friend	8	0,031%	space	3	0,046%				pour	1	0,039%
			young	1	0,050%	top	1	0,059%										tell	1	0,054%	game	8	0,031%	speak	3	0,046%				press	1	0,039%
						trash	1	0,059%										terra	1	0,054%	gave	8	0,031%	split	3	0,046%				problem	1	0,039%
						trend	1	0,059%										thing	1	0,054%	ghost	8	0,031%	spot	3	0,046%				put	1	0,039%
						true	1	0,059%										three	1	0,054%	high	8	0,031%	squad	3	0,046%				realiti	1	0,039%
						truth	1	0,059%										train	1	0,054%	jungl	8	0,031%	stay	3	0,046%				realiz	1	0,039%
						tumbl	1	0,059%										trist	1	0,054%	kiss	8	0,031%	still	3	0,046%				recal	1	0,039%
						tut	1	0,059%										true	1	0,054%	knew	8	0,031%	strip	3	0,046%				recogn	1	0,039%
						unabl	1	0,059%										trust	1	0,054%	may	8	0,031%	these	3	0,046%				restless	1	0,039%
						understand	1	0,059%										truth	1	0,054%	name	8	0,031%	though	3	0,046%				rich	1	0,039%
						velvet	1	0,059%										tudo	1	0,054%	off	8	0,031%	throw	3	0,046%				ride	1	0,039%
						victori	1	0,059%										twenti	1	0,054%	perfect	8	0,031%	took	3	0,046%				river	1	0,039%
						viel	1	0,059%										um	1	0,054%	phone	8	0,031%	town	3	0,046%				runnin	1	0,039%
						voic	1	0,059%										usa	1	0,054%	point	8	0,031%	truck	3	0,046%				sacrific	1	0,039%
						vote	1	0,059%										vale	1	0,054%	sacr	8	0,031%	tryin	3	0,046%				safe	1	0,039%
						walk	1	0,059%										vamo	1	0,054%	seen	8	0,031%	tun	3	0,046%				sang	1	0,039%
						war	1	0,059%										van	1	0,054%	shine	8	0,031%	two	3	0,046%				scorn	1	0,039%
						warum	1	0,059%										vas	1	0,054%	sister	8	0,031%	uhh	3	0,046%				screw	1	0,039%
						weak	1	0,059%										vert	1	0,054%	spend	8	0,031%	vers	3	0,046%				seem	1	0,039%
						weiß	1	0,059%										vien	1	0,054%	strang	8	0,031%	war	3	0,046%				seen	1	0,039%
						whatev	1	0,059%										vino	1	0,054%	travel	8	0,031%	warum	3	0,046%				sell	1	0,039%
						whole	1	0,059%										vive	1	0,054%	two	8	0,031%	week	3	0,046%				sens	1	0,039%
						wood	1	0,059%										vivo	1	0,054%	ve	8	0,031%	weil	3	0,046%				sex	1	0,039%
						worst	1	0,059%										voltar	1	0,054%	warm	8	0,031%	well	3	0,046%				silenc	1	0,039%
						written	1	0,059%										vuelv	1	0,054%	went	8	0,031%	whip	3	0,046%				sink	1	0,039%
						wrote	1	0,059%										vuelvo	1	0,054%	within	8	0,031%	wollen	3	0,046%				situat	1	0,039%
						year	1	0,059%										wanna	1	0,054%	work	8	0,031%	word	3	0,046%				skin	1	0,039%
						york	1	0,059%										war	1	0,054%	aint	7	0,027%	wär	3	0,046%				sky	1	0,039%
																		warm	1	0,054%	anyway	7	0,027%	zone	3	0,046%				slowli	1	0,039%
																		where	1	0,054%	arm	7	0,027%	12	2	0,031%				smile	1	0,039%
																		while	1	0,054%	bit	7	0,027%	2x	2	0,031%				smokin	1	0,039%
																		wild	1	0,054%	breath	7	0,027%	accept	2	0,031%				somebodi	1	0,039%
																		will	1	0,054%	broken	7	0,027%	admit	2	0,031%				someday	1	0,039%
																		wo	1	0,054%	con	7	0,027%	against	2	0,031%				sorri	1	0,039%
																		¿qué	1	0,054%	confess	7	0,027%	ahead	2	0,031%				space	1	0,039%
																					decis	7	0,027%	aint	2	0,031%				spin	1	0,039%
																					dog	7	0,027%	anyth	2	0,031%				star	1	0,039%
																					drink	7	0,027%	arrang	2	0,031%				stay	1	0,039%
																					drive	7	0,027%	art	2	0,031%				strength	1	0,039%
																					du	7	0,027%	bad	2	0,031%				sudden	1	0,039%
																					escap	7	0,027%	bang	2	0,031%				suffer	1	0,039%
																					fight	7	0,027%	bar	2	0,031%				sugar	1	0,039%
																					garden	7	0,027%	base	2	0,031%				sunset	1	0,039%
																					glad	7	0,027%	battl	2	0,031%				talkin	1	0,039%
																					golden	7	0,027%	bed	2	0,031%				taxi	1	0,039%
																					hate	7	0,027%	beyond	2	0,031%				tear	1	0,039%
																					honey	7	0,027%	bite	2	0,031%				texa	1	0,039%
																					knock	7	0,027%	blast	2	0,031%				their	1	0,039%
																					learn	7	0,027%	bodi	2	0,031%				these	1	0,039%
																					lone	7	0,027%	brauch	2	0,031%				thousand	1	0,039%
																					main	7	0,027%	brick	2	0,031%				thrown	1	0,039%
																					mess	7	0,027%	brother	2	0,031%				tight	1	0,039%
																					mirror	7	0,027%	brought	2	0,031%				till	1	0,039%
																					outsid	7	0,027%	built	2	0,031%				today	1	0,039%
																					paper	7	0,027%	busi	2	0,031%				touch	1	0,039%
																					pick	7	0,027%	buy	2	0,031%				toy	1	0,039%
																					piec	7	0,027%	care	2	0,031%				train	1	0,039%
																					prove	7	0,027%	cash	2	0,031%				tv	1	0,039%
																					quarter	7	0,027%	chase	2	0,031%				un	1	0,039%
																					secur	7	0,027%	choke	2	0,031%				under	1	0,039%
																					sick	7	0,027%	clean	2	0,031%				understood	1	0,039%
																					soul	7	0,027%	cloth	2	0,031%				until	1	0,039%
																					step	7	0,027%	cloud	2	0,031%				wait	1	0,039%
																					sung	7	0,027%	coast	2	0,031%				wake	1	0,039%
																					treat	7	0,027%	common	2	0,031%				wall	1	0,039%
																					uh	7	0,027%	complex	2	0,031%				watchin	1	0,039%
																					waitin	7	0,027%	contempl	2	0,031%				went	1	0,039%
																					wake	7	0,027%	continu	2	0,031%				whatev	1	0,039%
																					wave	7	0,027%	cours	2	0,031%				whi	1	0,039%
																					wine	7	0,027%	cover	2	0,031%				white	1	0,039%
																					ya	7	0,027%	coz	2	0,031%				who	1	0,039%
																					yes	7	0,027%	crazi	2	0,031%				wish	1	0,039%
																					yourself	7	0,027%	crew	2	0,031%				without	1	0,039%
																					alley	6	0,023%	cri	2	0,031%				wo	1	0,039%
																					anywher	6	0,023%	crowd	2	0,031%				worri	1	0,039%
																					beauti	6	0,023%	date	2	0,031%				would	1	0,039%
																					beneath	6	0,023%	day	2	0,031%				yeah	1	0,039%
																					big	6	0,023%	deinen	2	0,031%				yes	1	0,039%
																					bring	6	0,023%	dies	2	0,031%				yourself	1	0,039%
																					callin	6	0,023%	direct	2	0,031%						
																					cos	6	0,023%	done	2	0,031%						
																					daddi	6	0,023%	door	2	0,031%						
																					dear	6	0,023%	dream	2	0,031%						
																					each	6	0,023%	drop	2	0,031%						
																					ear	6	0,023%	durch	2	0,031%						
																					em	6	0,023%	eat	2	0,031%						
																					est	6	0,023%	ecstasi	2	0,031%						
																					fake	6	0,023%	em	2	0,031%						
																					fell	6	0,023%	emerg	2	0,031%						
																					fine	6	0,023%	enjoy	2	0,031%						
																					finger	6	0,023%	erst	2	0,031%						
																					floor	6	0,023%	escap	2	0,031%						
																					four	6	0,023%	everi	2	0,031%						
																					fun	6	0,023%	express	2	0,031%						
																					given	6	0,023%	father	2	0,031%						
																					god	6	0,023%	fit	2	0,031%						
																					greater	6	0,023%	five	2	0,031%						
																					heartach	6	0,023%	fli	2	0,031%						
																					hit	6	0,023%	flip	2	0,031%						
																					hmm	6	0,023%	flow	2	0,031%						
																					hot	6	0,023%	fo	2	0,031%						
																					huh	6	0,023%	fool	2	0,031%						
																					hurt	6	0,023%	four	2	0,031%						
																					land	6	0,023%	freak	2	0,031%						
																					le	6	0,023%	fun	2	0,031%						
																					less	6	0,023%	gefühl	2	0,031%						
																					line	6	0,023%	geh	2	0,031%						
																					lord	6	0,023%	gehen	2	0,031%						
																					matter	6	0,023%	gern	2	0,031%						
																					might	6	0,023%	gibt	2	0,031%						
																					million	6	0,023%	givin	2	0,031%						
																					moment	6	0,023%	glass	2	0,031%						
																					moon	6	0,023%	glaub	2	0,031%						
																					mr	6	0,023%	god	2	0,031%						
																					nah	6	0,023%	goddamn	2	0,031%						
																					open	6	0,023%	goin	2	0,031%						
																					ourselv	6	0,023%	gon	2	0,031%						
																					pain	6	0,023%	gone	2	0,031%						
																					peac	6	0,023%	good	2	0,031%						
																					phantom	6	0,023%	ground	2	0,031%						
																					plan	6	0,023%	gut	2	0,031%						
																					por	6	0,023%	hair	2	0,031%						
																					puedo	6	0,023%	hard	2	0,031%						
																					reaction	6	0,023%	hart	2	0,031%						
																					reason	6	0,023%	heat	2	0,031%						
																					rest	6	0,023%	hesit	2	0,031%						
																					rock	6	0,023%	high	2	0,031%						
																					sell	6	0,023%	ignor	2	0,031%						
																					set	6	0,023%	insan	2	0,031%						
																					situat	6	0,023%	jam	2	0,031%						
																					somebodi	6	0,023%	jetzt	2	0,031%						
																					steal	6	0,023%	jump	2	0,031%						
																					superstar	6	0,023%	jumpin	2	0,031%						
																					surviv	6	0,023%	kein	2	0,031%						
																					til	6	0,023%	keiner	2	0,031%						
																					train	6	0,023%	kid	2	0,031%						
																					trust	6	0,023%	kill	2	0,031%						
																					understood	6	0,023%	kind	2	0,031%						
																					wast	6	0,023%	knock	2	0,031%						
																					white	6	0,023%	known	2	0,031%						
																					without	6	0,023%	laughter	2	0,031%						
																					wonder	6	0,023%	lay	2	0,031%						
																					yellow	6	0,023%	lick	2	0,031%						
																					along	5	0,019%	long	2	0,031%						
																					alreadi	5	0,019%	los	2	0,031%						
																					attack	5	0,019%	luck	2	0,031%						
																					becom	5	0,019%	lyric	2	0,031%						
																					besid	5	0,019%	m	2	0,031%						
																					bore	5	0,019%	male	2	0,031%						
																					brown	5	0,019%	mc	2	0,031%						
																					car	5	0,019%	meant	2	0,031%						
																					carri	5	0,019%	meiner	2	0,031%						
																					catch	5	0,019%	men	2	0,031%						
																					chanc	5	0,019%	menschen	2	0,031%						
																					child	5	0,019%	mission	2	0,031%						
																					complet	5	0,019%	mist	2	0,031%						
																					cover	5	0,019%	monster	2	0,031%						
																					crime	5	0,019%	mr	2	0,031%						
																					crowd	5	0,019%	name	2	0,031%						
																					cut	5	0,019%	nein	2	0,031%						
																					damn	5	0,019%	ner	2	0,031%						
																					danger	5	0,019%	nie	2	0,031%						
																					divin	5	0,019%	niemand	2	0,031%						
																					draw	5	0,019%	outro	2	0,031%						
																					earli	5	0,019%	outta	2	0,031%						
																					einfach	5	0,019%	park	2	0,031%						
																					famili	5	0,019%	past	2	0,031%						
																					felt	5	0,019%	peac	2	0,031%						
																					goin	5	0,019%	pen	2	0,031%						
																					heaven	5	0,019%	power	2	0,031%						
																					ihr	5	0,019%	produc	2	0,031%						
																					jump	5	0,019%	pull	2	0,031%						
																					kid	5	0,019%	punk	2	0,031%						
																					kind	5	0,019%	question	2	0,031%						
																					laugh	5	0,019%	quick	2	0,031%						
																					lip	5	0,019%	rais	2	0,031%						
																					m	5	0,019%	ran	2	0,031%						
																					meant	5	0,019%	reach	2	0,031%						
																					myself	5	0,019%	realli	2	0,031%						
																					next	5	0,019%	reason	2	0,031%						
																					nice	5	0,019%	rememb	2	0,031%						
																					nur	5	0,019%	respons	2	0,031%						
																					object	5	0,019%	round	2	0,031%						
																					onc	5	0,019%	sagen	2	0,031%						
																					past	5	0,019%	sail	2	0,031%						
																					presid	5	0,019%	same	2	0,031%						
																					pretend	5	0,019%	scene	2	0,031%						
																					proof	5	0,019%	score	2	0,031%						
																					push	5	0,019%	scream	2	0,031%						
																					quon	5	0,019%	secur	2	0,031%						
																					re	5	0,019%	selbst	2	0,031%						
																					reach	5	0,019%	sell	2	0,031%						
																					rise	5	0,019%	sent	2	0,031%						
																					scream	5	0,019%	shoot	2	0,031%						
																					shake	5	0,019%	should	2	0,031%						
																					shut	5	0,019%	sick	2	0,031%						
																					skin	5	0,019%	side	2	0,031%						
																					star	5	0,019%	sight	2	0,031%						
																					stori	5	0,019%	simpl	2	0,031%						
